Brand,EAN,Product Name
DEWALT,8016287267717,DEWALT Visokotlačni čistilec DeWALT DXPW 001CE
DEWALT,2080006340599,DEWALT Visokotlačni čistilec DeWALT DXPW 003CE
MAKITA,088381788885,Delovne rokavice Impact demolition št. XL P-84589
HAZET,4000896001620,"HAZET orodje ključ nasadni 12-kotni, nastavek / 12-point socket / doppel-6kt.-steckschluessel-einsatz 1000z-35"
HAZET,4000896179039,"HAZET orodje klešče, komplet / klešče set 3/1 -   pliers set / zangen-satz 1859spc/3"
HAZET,4000896188451,"HAZET orodje klešče za vodno črpalko / universal plier / wasserpumpenzange 760-2"
UNIOR,2000003113194,UNIOR ključ nasadni 1/2  impact artikel 231/4 6p  dimenzija 21 603971
UNIOR,2000019990536,UNIOR plastični kladivo 55mm 628815
SHOCK,4014949478208,SCHOCK Kuhinjska armatura Schock SC-520 555120 Magnolia
SAVA,8594227970816,"SAVA Cestno kolo Levar 2.0, siva, velikost 470mm"
SAVA,8594227970823,"SAVA Cestno kolo Levar 2.0, siva, velikost 490mm"
